TIME,MA5,MA10,MA30
Sat Apr 11 18:04:14 2020,MA5:7104.28,MA10:6969.96,MA30:6340.62
TIME,MA5,MA10,MA30
Sat Apr 11 18:04:19 2020,MA5:7104.37,MA10:6970.00,MA30:6340.63
TIME,MA5,MA10,MA30
Sat Apr 11 18:04:24 2020,MA5:7104.25,MA10:6969.95,MA30:6340.61
TIME,MA5,MA10,MA30
Sat Apr 11 18:04:29 2020,MA5:7104.45,MA10:6970.05,MA30:6340.65
TIME,MA5,MA10,MA30
Sat Apr 11 18:04:34 2020,MA5:7104.45,MA10:6970.05,MA30:6340.65
TIME,MA5,MA10,MA30
Sat Apr 11 18:04:39 2020,MA5:7104.37,MA10:6970.01,MA30:6340.63
TIME,MA5,MA10,MA30
Sat Apr 11 18:04:44 2020,MA5:7104.48,MA10:6970.06,MA30:6340.65
